id,url,tweet,date,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName
1897661559138136300,https://x.com/SntBroseph/status/1897661559138136391,"@symplyDAPO @cardtonic Congrats bruh
You deserve everything

You dey always turn up for people",2025-03-06 14:52:00,0,0,0,0,13.0,symplyDAPO,2207,4506,SntBroseph
1897660763445019100,https://x.com/donsaso1111/status/1897660763445019110,"@symplyDAPO @cardtonic #MoneyMarch 🫱🏽‍🫲🏻 #UseCardtonic

Pick me  please",2025-03-06 14:49:00,0,0,0,0,11.0,symplyDAPO,131,620,donsaso1111
1897660705408422100,https://x.com/Emilo_merchant/status/1897660705408422105,@symplyDAPO @cardtonic U sef dn try 👍🫂,2025-03-06 14:49:00,0,0,0,0,25.0,symplyDAPO,2904,4455,Emilo_merchant
1897659634598412300,https://x.com/TheUnknown_Son/status/1897659634598412391,"@symplyDAPO @cardtonic Much love ❤️ 🫂🫂🫂

6360242260

Moniepoint

Togap",2025-03-06 14:44:00,0,0,0,0,15.0,symplyDAPO,3692,4321,TheUnknown_Son
1897659463374353000,https://x.com/KhayLarge/status/1897659463374352863,"@symplyDAPO @cardtonic God bless the sponsor

8522335327
Adekunle
SterlingBank",2025-03-06 14:44:00,0,0,0,0,16.0,symplyDAPO,548,672,KhayLarge
1897658360293462300,https://x.com/Robdavy98/status/1897658360293462164,"@symplyDAPO @cardtonic Abeg pick me,i empty",2025-03-06 14:39:00,0,0,0,0,45.0,symplyDAPO,150,1327,Robdavy98
1897658143154241500,https://x.com/idristolulope2/status/1897658143154241577,"@symplyDAPO @cardtonic Lovely, I pick me in Jesus name..blow powder 😁😁😁 https://t.co/1KRndGKsNa",2025-03-06 14:38:00,0,0,0,1,1515.0,symplyDAPO,113,947,idristolulope2
1897657893295419400,https://x.com/ObidiweC/status/1897657893295419501,"@symplyDAPO @cardtonic I'm here my oga🙇‍♂️🙇‍♂️

7025644231
opay",2025-03-06 14:37:00,0,0,0,0,25.0,symplyDAPO,56,102,ObidiweC
1897657637979804000,https://x.com/simo7470/status/1897657637979803941,@symplyDAPO @cardtonic Been using them since 💯,2025-03-06 14:36:00,0,0,0,0,28.0,symplyDAPO,416,605,simo7470
1897657534451724500,https://x.com/simo7470/status/1897657534451724650,@symplyDAPO @cardtonic Please bless me boss 🥹🙏,2025-03-06 14:36:00,0,0,0,0,27.0,symplyDAPO,416,605,simo7470
1897657444957868300,https://x.com/symplyDAPO/status/1897657444957868320,"After seeing my post about @cardtonic sweet gift card rate yesterday, my friend just sold his USA Sephora Physical gift card at a rate of ₦1,055/1$ with them and decided to send me lunch money.

I will pick 2 people in the CS to share it with😍😍

#MoneyMarch 🫱🏽‍🫲🏻 #UseCardtonic https://t.co/1PmjXr1pFe",2025-03-06 14:36:00,32,44,89,1,21265.0,,307469,11960,symplyDAPO
1897652006761718000,https://x.com/figo_regime/status/1897652006761718062,@cardtonic it is better you reply my dm before I send proof to verydarkman and get justice and Nigeria will stop trading with you,2025-03-06 14:14:00,0,0,0,0,6.0,cardtonic,352,2469,figo_regime
1897651837181874700,https://x.com/figo_regime/status/1897651837181874630,@cardtonic you guys ripped me,2025-03-06 14:13:00,0,0,0,0,3.0,cardtonic,352,2469,figo_regime
1897549202885894700,https://x.com/JustDirmax/status/1897549202885894548,@symplyDAPO @cardtonic Make sense,2025-03-06 07:25:00,0,0,0,0,17.0,symplyDAPO,57231,2065,JustDirmax
1897547925200199700,https://x.com/iamDjSteve/status/1897547925200199782,"@iamAbiodunAA @cardtonic there rates are way better than @chippercashapp infact i had to deactivate and delete the chipper app, greedy bastards",2025-03-06 07:20:00,0,0,1,0,7.0,iamAbiodunAA,513,569,iamDjSteve
1897467623907946500,https://x.com/adesinaKush/status/1897467623907946508,@symplyDAPO @cardtonic How did you trade for it.,2025-03-06 02:01:00,0,0,0,0,23.0,symplyDAPO,906,5514,adesinaKush
1897426917365543200,https://x.com/_ABBAS_01/status/1897426917365543277,Cardtonic pay me my money,2025-03-05 23:20:00,0,2,1,2,291.0,,1074,468,_ABBAS_01
1897416589034840300,https://x.com/John70944471850/status/1897416589034840412,@cardtonic @Pauloskyy0 You guys should work on your app.. ona dey take forever to pay and e no sharp😡😡😡,2025-03-05 22:39:00,0,1,1,0,14.0,cardtonic,9,148,John70944471850
1897407702151913700,https://x.com/OhICanChangeIt/status/1897407702151913762,@iamAbiodunAA Cardtonic!,2025-03-05 22:03:00,0,0,0,0,9.0,iamAbiodunAA,2174,3134,OhICanChangeIt
1897397623306465500,https://x.com/EDominions80621/status/1897397623306465549,@symplyDAPO @cardtonic They're very slow in trading and payments,2025-03-05 21:23:00,0,1,0,0,46.0,symplyDAPO,35,501,EDominions80621
1897330094341022200,https://x.com/noname107711/status/1897330094341022166,"@_iamtolulope @CardHubTop Gift card trading surged in Nigeria, with platforms like Cardtonic gaining popularity.",2025-03-05 16:55:00,0,0,1,0,13.0,_iamtolulope,14859,14574,noname107711
1897328883340542200,https://x.com/JohnAjile/status/1897328883340542105,@symplyDAPO @cardtonic I have tried doing it but I don't the how to do it.,2025-03-05 16:50:00,0,0,0,0,110.0,symplyDAPO,120,1221,JohnAjile
1897322961226621400,https://x.com/yk_judd/status/1897322961226621314,"Cardtonic.

very fast and seamless—also very  reasonable rates.",2025-03-05 16:26:00,0,0,1,0,98.0,,954,206,yk_judd
1897317647790039300,https://x.com/AyodejiMusty/status/1897317647790039311,@iamAbiodunAA Cardtonic is the best,2025-03-05 16:05:00,0,0,0,0,14.0,iamAbiodunAA,129,975,AyodejiMusty
1897311009532207400,https://x.com/_therealebi/status/1897311009532207360,@iamAbiodunAA Cardtonic,2025-03-05 15:39:00,0,0,0,0,21.0,iamAbiodunAA,387,959,_therealebi
